department,code,title,description,credit,advised_requisite,pre_requisite
Climate and Space Sciences and Engineering Courses | Michigan Engineering,SPACE 101 (ASTRO 183),Rocket Science,<i> (3 credits),3,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 589,The Art of Climate Modeling,"The course introduces the newest climate modeling techniques by surveying the design decisions in atmospheric General Circulation Models (GCMs), the trends in GCM and dynamical core modeling and how GCMs are coupled. It is built upon hands-on GCM modeling and data projects, journal paper discussions, lectures, shared cyber-infrastructure and computational tools.",4,NA,"graduate standing, basic understanding of Atmospheric dynamics and the general circulation of the atmosphere; Unix; higher level programming language; numerical methods."
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 590,Space Systems Projects,Space science and application mission related team project. Student teams will participate in ongoing projects in the Space Physics Research Laboratory in conjunction with industry and government sponsors.,1,NA,Graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 591,Climate Practicum I,Introduction to individual and team research on real-world problems in the area of applied climate. A mentor from a commercial or governmental laboratory will pose the problem and help to guide the research. Students will learn how to apply knowledge they have already acquired. This course followed by CLIMATE 592. <strong> CLIMATE 592. Climate Practicum II,3,NA,Senior or graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 591,Climate Practicum I,Introduction to individual and team research on real-world problems in the area of applied climate. A mentor from a commercial or governmental laboratory will pose the problem and help to guide the research. Students will learn how to apply knowledge they have already acquired. This course followed by CLIMATE 592. <strong> CLIMATE 592. Climate Practicum II,3,NA,Senior or graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 591,Climate Practicum I,Introduction to individual and team research on real-world problems in the area of applied climate. A mentor from a commercial or governmental laboratory will pose the problem and help to guide the research. Students will learn how to apply knowledge they have already acquired. This course followed by CLIMATE 592. <strong> CLIMATE 592. Climate Practicum II,3,NA,Senior or graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,SPACE 596,Gaskinetic Theory,"Maxwell-Boltzmann distribution, kinetic determination of equation of state, specific heats of gases. Dynamics of two-particle collisions. Elementary transport theory, molecular effusion, hydrodynamic transport coefficients, mean free path method. Advanced transport theory, the Boltzmann equation, collision terms, Champman-Enskog transport theory. Aerodynamics of free-molecular flow. Shock waves.",3,NA,Graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 597 (AEROSP 597),Fundamentals of Space Plasma Physics,"Basic plasma concepts, Boltzmann equation, higher order moments equations, MHD equations, double adiabatic theory. Plasma expansion to vacuum, transonic flows, solar wind, polar wind. Collisionless shocks, propagating and planetary shocks. Fokker-Planck equation, quasilinear theory, velocity diffusion, cosmic ray transport, shock acceleration. Spacecraft charging, mass loading.",3,NA,senior-level statistical physics course.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 598,The Sun and the Heliosphere,A complete description of the physical processes that govern the behavior of the Sun and the heliosphere with emphasis on recent theoretical and observational results.,3,NA,AOSS 464 & Physics 505 or equivalent.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 605 (SPACE 605),Current Topics in Climate and Space Sciences and Engineering,"Advances in specific fields of climate and space sciences, as revealed by recent research. Lecture, discussion and assigned reading.",1,NA,None.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 606 (SPACE 606),Computer Applications to Geo-Fluid Problems,"Solution of geo-fluid problems by numerical techniques using a digital computer. Lectures, laboratory, exercises using the digital computer.",3,NA,"CLIMATE 442 or CLIMIATE 451, ENGR 103, MATH 450."
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 651 (SPACE 651),Dynamics of Planetary Atmospheres and the Upper Atmosphere,"Dynamic meteorology of other planets (Mars, Venus, Jupiter and Titan), the Earth's middle atmosphere and thermosphere. Tides, solitary waves, quasi-geostrophic turbulence and dynamics and chemistry are among the phenomena discussed.",3,NA,CLIMATE 451.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 690,Thesis/Master of Science,Provides credit for research and writing of a Masters Thesis under direction of a faculty member.,2,NA,Permission of instructor; graduate standing.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 701,Special Problems in Meteorology and Oceanography,  Supervised analysis of selected problems in various areas of meteorology and oceanography.,0,NA,permission of instructor.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 747 (SPACE 747),CLaSP Student Seminar,Students take turns presenting short research seminars (20 minutes) and/or short talks introducing upcoming speakers in CLIMATE/SPACE 749. Some class time will also be devoted to discussions of effective oral and poster presentations and professional ethics.,2,NA,none.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,CLIMATE 749 (SPACE 749),CLaSP Seminar,"Presentations from UM researchers and outside speakers about current research results, covering a broad range of topics in climate, atmosphere and space science. In this class students take turns serving as seminar chair. Questions from students will be handled before those from faculty. Conditions for credit are participation in this seminar and the completion of a short paper in which each student follows up on one talk given as part of this seminar series.",1,NA,none.
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 990,Dissertation/Pre-Candidate,"Dissertation work by doctoral student not yet admitted to status as candidate. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment.",1,NA,1-4 credits)
Climate and Space Sciences and Engineering Courses | Michigan Engineering,AOSS 995,Dissertation/Candidate Graduate School,"Election for dissertation work by a doctoral student who has been admitted to candidate status. The defense of the dissertation, that is, the final oral examination, must be held under a full-term candidacy enrollment.",4,NA,authorization for admission as a doctoral candidate.
