department,code,title,description,credit,advised_requisite,pre_requisite
University of Michigan School of Information,SI671,Data Mining,"With the explosive growth of information generated from different sources, in a variety of formats, and with various qualities, information analysis has become challenging for researchers in many disciplines.  Automatic, robust, and intelligent data mining techniques have become essential tools to handle heterogeneous, noisy, nontraditional, and large-scale data sets.  This is a doctoral seminar course of advanced topics in data mining, the state-of-the-art methods to analyze different genres of information, and the applications to many real world problems.  The course will highlight the practical applications of data mining instead of the theoretical foundations of machine learning and statistical computing.  The course materials will focus on how the information in different real world problems can be represented as particular genres, or formats of data, and how the basic mining tasks of each genre of data can be accomplished using the state-of-the-art techniques.  To this end, the course is not only suitable for doctoral students who are doing research in data mining related fields, but also for those who are consumers of data mining techniques in their own disciplines, such as natural language processing, networks science, human computer interaction, economics, social computing, sociology, business intelligence, and biomedical informatics, etc. View syllabus",3,SI 608 or SI 650 or SI 561,SI 601 & 618 & (544 or equiv)
University of Michigan School of Information,SI606,Personal Informatics Design,"This course introduces students to the social and technical issues that designers of personal informatics technologies face in helping users understand and improve their lives through the use of data.  It will be studio-based, with a focus on a semester-long group project to design a personal informatics application. View syllabus",3,SI 502,SI 582
University of Michigan School of Information,SI608,Networks,"This course will cover topics in network analysis, from social networks to applications in information networks such as the internet.  We will introduce basic concepts in network theory, discuss metric and models, use software analysis tools to experiment with a wide variety of real-world network data, and study applications to areas such as information retrieval.  For their final project, the students will apply the concepts learned in class to networks of interest to them. View syllabus",3,"SI 502 and SI 544 or equivalent or permission of instructor.  Also, SI 601/618 strongly suggested.",
University of Michigan School of Information,SI582,Introduction to Interaction Design,"Intro to Interaction Design will provide students with a hands-on introduction to interaction design. The course will focus on design methods and design thinking, and will allow students to develop their design sensibilities and practical skills through a series of design exercises. The course will cover individual and group ideation techniques; sketching on paper and using software tools; prototyping approaches, tools, and techniques; and contemporary perspectives on interaction design for common platforms (e.g., web, desktop, tablet, mobile, and beyond). 
The course will combine readings, lectures, and in-class exercises to convey and reinforce the intellectual content. Individual and group assignments, including a substantial group project at the end of the course, will provide an opportunity to engage more deeply with the material. In-class presentations, along with group critique will allow students to receive feedback from peers and instructors to improve and refine their craft. In-class discussions will rely heavily on concrete examples that are analyzed and critiqued by students and instructors alike, and are used to illustrate and reinforce the course content. View syllabus",3,,
University of Michigan School of Information,SI580,Understanding Records and Archives,"Provides an understanding of why societies, cultures, organizations, and individuals create and keep records.  Presents cornerstone terminology, concepts, and practices used in records management and archival administration.  Examines the evolution of methods and technologies used to create, store, organize, and preserve records and the ways in which organizations and individuals are archives and records for ongoing operations, accountability, research, litigation, and organizational memory.  Participants become familiar with the legal, policy, and ethical issues surrounding records and archives administration and become conversant with the structure, organization, and literature of the archival and records management professions. View syllabus",3,,
University of Michigan School of Information,SI581,Preservation Administration,"Preservation combines applied science and technology with the management of resources (human, physical, monetary) to ensure the persistence of information with continuing value for access by present and future generations. This course provides an overview of the materials commonly used as information carriers today -paper as well as photographic, audiovisual, and digital media- and introduces the basic principles, policies, and procedures for protecting that information from loss, damage, deterioration, and obsolescence. A group project provides the opportunity to apply these principles in the setting of an actual library, archive, or museum collection. View syllabus",3,,
University of Michigan School of Information,SI588,Fundamentals of Human Behavior,"Surveys basic principles of cognitive and social psychology relevant to the design and use of information systems. Focuses on important findings in psychological science and their implications for the design and use of information systems. Topics include the basics of human perception, memory capacity and organization, the development of skill and expertise, and the characteristics of everyday reasoning and decision making. For example, a central problem in information science is how to label information stored for later recall. By examining how human memory operates, we can gain some insight into possible schemes that may be compatible with human users. This survey of what we know about the human mind offers ideas about how to exploit mental capacities in the design and use of information systems. View syllabus",3,,
University of Michigan School of Information,SI425,Introduction to User Modeling,"This course provides an integrated overview of techniques to model user behavior from economic theory, behavioral economics and computer science. The rational model of consumer choice is concise and provides a useful benchmark. Behavioral economics discusses under which conditions the rational model holds. As economic activity has moved online, ""big data"" sets have become available to analysts. In addition to theories, students learn the special empirical challenges when analyzing such large-scale online datasets. View syllabus",4,STATS 250 or equivalent,
University of Michigan School of Information,SI422,Needs Assessment and Usability Evaluation,"Any product--whether a website, a technological system, or an electronically mediated service--benefits from evaluation before, during, and after the development cycle.  Too often, the people who use a product cannot find what they want or accomplish what they need to do.  Products are more successful when they are developed through a process that identifies how the products will be used, elicits input from potential users, and watches how the product function in real time with real users.  This course provides a hands--on introduction to methods used throughout the entire evaluation process--from identifying the goals of the product, picturing who will use it, engaging users through a variety of formative evaluation techniques, and confirming a product's function through usability testing and summative evaluation.  Specific methods include personas and scenarios, competitive analysis, observation, surveys, interviews, data analysis, heuristic evaluation, usability testing, and task analysis.  Students will work on group projects that apply these techniques to real products in use or development. View syllabus",3,,
University of Michigan School of Information,SI502,Networked Computing,"In order to appreciate the opportunities, and make wise choices about the use of technology, information professionals need to understand the architectures of modern information systems.  In alternative system architectures, storage, communication, and processing complement each other in different ways.  This course introduces students, at several different levels of abstraction, to sets of functional components and alternative ways of combining those components to form systems.  It also introduces a set of desirable system properties and a core set of techniques that are useful in building systems that have those properties. View syllabus",3,,
University of Michigan School of Information,SI501,Contextual Inquiry and Consulting Foundations,"The University of Michigan School of Information was founded on the premise that information professionals can and should ""connect people, information, and technology in more valuable ways."" We recognize that the successes of our institutions, projects, programs, and products rely not only on high-quality information and robust technology but also on users and context. In today's economy, where choices are abundant and finances are constrained, learning to accurately discern and respond to one's users is both beneficial and useful. This course builds skills in user-centered analysis via the basic principles of contextual inquiry, a user-centered design process. Working with a real-world client and in cross-disciplinary teams, students advance their skills and learn new strategies to manage project timelines, workloads, and responsibilities; conduct interviews; observe work practices and information usage; abstract, analyze, and synthesize qualitative data; and present their conclusions and recommendations. Each client experience allows students to examine how information and human behavior influence actions in some process or service within an organization. View syllabus",3,,
University of Michigan School of Information,SI506,Programming I,"Introduction to programming with a focus on applications informatics. Covers the fundamental elements of a modern programming language and how to access data on the internet. Explores how humans and technology complement one another, including techniques used to coordinate groups of people working together on software development. View syllabus",3,SI 502 or prior programming experience,
University of Michigan School of Information,SI507,Intermediate Programming,"The purpose of this course is to build upon the foundation provided by 506 and prepare students for more advanced courses that require programming skills. In particular, students in 507 will further develop core programming and software development skills, including: basic data structures, gathering and processing data, interactive programming, debugging the testing, using distributed code repositories, and object-oriented design. By the end of this course, students should be comfortable writing 500-1000 line object-oriented programs including data processing and interactivity, incorporate and integrate multiple third-party packages, and write effective test cases to validate a functional specification.",3,,SI 506
University of Michigan School of Information,SI612,Pervasive Interaction Design,"This course is advanced interaction design course the focuses on designing interactive applications for emerging mobile and context-aware technologies.  It follows a similar format to 582 (Interaction Design) in that course is studio-based, consists largely of a seminar-long group project with multiple milestones, and is supplemented by readings and discussion relevant to the topic.  Class meetings consist of brief lectures to introduce and frame course concepts, design methods, and technical tools; discussion of readings; in-class design exercises; and group work/lab time.  Some programming will be required in order to complete prototyping activities, though students have flexibility in choosing the platforms and languages used.  Programming will not be taught in the course. View syllabus",3,SI 622,SI 582
University of Michigan School of Information,SI611,Population Health Informatics,"This course explores the foundations of population health informatics, including information architecture; data standards and confidentiality as they pertain to population health management.  This course examines key concepts related to registries, electronic health records, epidemiological databases, biosurveillance, health promotion, and quality reporting in population health management. View syllabus",3,,HMP 668 / SI 542 / BIOINF 668
University of Michigan School of Information,SI616,Advanced Topics in Graphic Design and Communication,"This multidisciplinary, hybrid course is for those students who want/need to deepen and broaden their graphic communication skills developed in SI 520: Graphic Design. This course supports students' further professional development by enhancing their conceptual problem solving skills and technical proficiency through a set of projects. View syllabus",3,"SI 539, 622, and 639 or currently are strongly recommended",SI 520
University of Michigan School of Information,SI617,Choice Architecture,"Designing a system or organization for humans requires understanding not just choice and behavior motivations (good in most cases, we hope), but also learning about the reasons we blunder and make mistakes.  Thus, even when incentives are ""aligned"" with overall system goals, there are many instances where we make poor choices because as human beings, we are all susceptible to a wide array of routine biases that can lead to an equally wide array of unwanted and unintended outcomes and decisions.  Our errors are what make us human, but up until now, they have been largely ignored by systems designers, whether these designers make complex public policy, manage a team or design an information system.  But knowing how people think, we can become choice architects who design environments that both yield better decision making on the part of users, and achieve behavior that is consistent with overall system goals while gaining a competitive design-edge.

The first goal of this course is to inform future information system professionals, designers and managers about human decision rules and their associated biases so that these insights can be incorporated into their design, business or management strategies.  Knowledge of these issues can be a significant source of competitive advantage because they are unknown to most information systems professionals and they are not taught in most I-schools.  The second goal of this course is to clarify how these results can be leveraged to create original and more effective systems and institutions that meet the designer's goals. View syllabus",3,SI 562 or SI 563,
University of Michigan School of Information,SI614,Spec Topic Inf Stdy,,1,,
University of Michigan School of Information,SI618,Data Manipulation and Analysis,"This course aims to help students get started with their own data harvesting, processing, aggregation, and analysis.  Data analysis is crucial to evaluating and designing solutions and applications, as well as understanding user's information needs and use.  In many cases the data we need to access is distributed online among many webpages, stored in a database, or available in a large text file.  Often these data (e.g. web server logs) are too large to obtain and/or process manually.  Instead, we need an automated way of gathering the data, parsing it, and summarizing it, before we can do more advanced analysis.  Therefore, students in this course will learn to use Python and its modules to accomplish these tasks in a 'quick and easy' yet useful and repeatable way.  Next, students will learn techniques of exploratory data analysis, using scripting, text parsing, structured query language, regular expressions, graphing, and clustering methods to explore data.  Students will be able to make sense of and see patterns in otherwise intractable quantities of data. View syllabus",3,,SI 507 Co-requisite
University of Michigan School of Information,SI335,Social Media in Organizations,"This course will address the technical, social, and psychological factors related to how organizations adopt and use social media technologies. Emphasis will be placed on how organizations can leverage social media to communicate with external stakeholders as well as support internal organizational processes such as collaboration, knowledge management, and innovation. View syllabus",3,,
University of Michigan School of Information,SI334,Persuasion and Social Influence,"Social Influence is one of the most pervasive and powerful mechanisms for behavior change whether you are an informatics professional who is building up your design tool-box, designing a new information system or managing a team.  In this course we will learn why and under what conditions an individual's thoughts and actions can be influenced by those around them.

The primary goal of this course is to introduce you to some of the theories and key research findings in the field of persuasion and social influence through the lens of economics and social psychology.  The second goal is to have you applying the tools of influence from day one of the course: you will learn techniques for persuasive speaking, writing and designing.  All written and oral assignments will use short and targeted exercises to gain fluency in applying the techniques and ideas of persuasion.  Finally, the course will culminate in an application of these techniques in two case studies (one covering a management problem and one a design challenge).


Though we will rely on theories, and learn about the key research findings, this course is suitable for anyone with any background but tailored directly to the needs of informatics students.  The class will be heavily directed toward applying what we learn to practice and real world situations. Class meetings include a mixture of lecture and exposition through the use of experiments, an assortment of group activities and class discussion so that you can see and test some of the theories and techniques of social influence first hand. View syllabus",3,,
University of Michigan School of Information,SI330,Data Manipulation,"Data analysis is crucial to application evaluation, as well as understanding users' information needs.  When the data required are numerous we need an automated way to gather, parse, and summarize the data.  In this course, you will learn to use Python and its modules to accomplish these tasks. View syllabus",4,,SI 206
University of Michigan School of Information,SI340,Experiment Design,"This course introduces experimental methods. Students will learn basic principles for successful experimentation: picking a good problem; subject recruitment; designing and conducting experiments (both laboratory and online); collecting and analyzing data, and reporting results. Students will complete the entire process of experimental research, from design to presentation of findings.",4,,STATS 250
University of Michigan School of Information,SI430,Information Technology and Global Society,"In this course, students will examine recent and current global events featuring information technology, and through both discussion and introspection, construct their own personal hypotheses of technology and society.  Along the way, students will hear about the way in which information technology is touching the remotest places in the world, gain an introduction to formal theories of technology and society, and stress-test their critical thinking skills. View syllabus",3,,
University of Michigan School of Information,SI639,Web Archiving,"The World Wide Web is the primary delivery mechanism for digital content.  Preservation administrators need to be familiar with the tools and appropriate techniques for preservation of information delivered through the ""surface"" Web (static Web pages, blogs, E-mail discussion lists, etc.) and information that is part of the ""deep"" Web (e.g. databases, streaming media, and authenticated resources).  Once Web content is captured and brought into a preservation environment, preservation administrators are responsible for transforming them into persistent formats and data structures. View syllabus",1.5,SI 502 or taken concurrently.,
University of Michigan School of Information,SI106,"Programs, Information and People","Introduction to programming with a focus on applications in informatics.  Covers the fundamental elements of a modern programming language and how to access data on the internet.  Explores how humans and technology complement one another, including techniques used to coordinate groups of people working together on software development. View syllabus",4,,
University of Michigan School of Information,SI534,Theories of Social Influence,This course introduces the major theories of social influence in psychology and economics so that you may become a better decision architect and an effective leader. In this course we will learn why and under the conditions in individual's thoughts and actions can be influenced by those around them. We will touch on related theoretical ground in economics and in psychology but focus heavily on the empirical findings and how they can be applied to design and management tasks. The primary goal of this course is to realize a detailed picture of the traditional and contemporary thinking on this topic as it is addressed in economics and in social psychology and to have you applying the tools of influence from day one. View syllabus,3,,
University of Michigan School of Information,SI531,Human Interaction in Information Retrieval,"This course explores search user experience, search behavior, and evaluation in information retrieval systems.  The purpose of this course is to introduce theory, research, and practice in relation to search user interfaces, search tasks, search queries, search user experience, interactive information retrieval, and IR evaluation.  Students will be encouraged to consider the nature of interaction with information in various search systems, including Web search engines, multimedia search systems, mobile search systems, and social Q&A services.  Students will have opportunities to discuss and critique empirical user studies in the field of information retrieval focusing on user experience and human-centric evaluation to assess the quality of search systems.  Upon completion of this course, students will have: (1) An understanding of the fundamental concepts and major models in the field of interactive information retrieval; (2) Familiarity with the state of the art of search interface design and design challenges in search systems; (3) Familiarity with search user experience in various search systems; (4) Skills and knowledge in designing experimental studies to evaluate information retrieval systems; (5) An ability to apply appropriate criteria and measures for information retrieval evaluation. View syllabus",3,,
University of Michigan School of Information,SI530,Principles in Management,"This course provides a foundation in management for information professionals interested in working in for-profit or non-profit organizations.  In this course students will learn about management principles (e.g. planning, organizing, leading, controlling).  Having a firm grasp of the principles is the first step.  This is a skills based course, so students are expected to apply what they learn in class by reading and analyzing case studies.  At all times students will be required to take on various roles (e.g. manager, employee, supplier, customer, competitor) to outline the issues managers face, evaluate managers' responses, and provide alternative courses of action. View syllabus",3,,
University of Michigan School of Information,SI627,Managing the IT Org,"In this course, students will develop skills and techniques in the areas of strategic planning, budgeting and finance, human resources administration, vendor relationships, and leadership.  The course also explores alignment of IT initiatives with business objectives, simultaneous management of operational and development environments, and the impact of virtual and nodal organizations on IT infrastructure and services.  This course is designed to be cross-disciplinary, with examples and activities drawn from information services, manufacturing, health care, public administration, higher education and other areas.  A variety of instructional methods are used to engage students and help identify similarities and differences between IT applications in various professional fields.",3,SI 502 or permission of instructor,
University of Michigan School of Information,SI625,Digital Preservation,"This course was part of the original plan for building out the Preservation of Information specialization (si.umich.edu/msi/pi.htm).  While SI 581 deals agnostically with both analog and digital Information, there is a need for a course that goes into greater depth about the status of digital preservation and highlight new developments and tools.  This course fills a gap at SI and complements the other Preservation of Information courses and those in electronic records management. View syllabus",3,SI 581 or permission of instructor,
University of Michigan School of Information,SI623,Research Methods for Information Professionals,"Research is key in the information professions:  we assist other people conducting research, read research studies to improve practice, engage in research to evaluate tools and services, and use research in reports, funding requests, and requests for proposals.  Much of our practice rests on a base of evidence and as responsible professionals it is important that we be able to weigh that evidence and apply it appropriately in our information setting.  Information professionals also conduct research studies to assist in their work or for promotion within their organizations.  We may also become a part or larger research teams conducting research studies.  This course is designed to help you conduct and consume research studies. View syllabus",3,SI 501,
University of Michigan School of Information,SI622,Needs Assessment and Usability Evaluation,"Covers the key concepts of evaluation and a variety of methods used to determine the goals of a system or service, performs organizational analysis, assesses task/technology or service fit, determines ease of learning of new or existing services or systems, determines ease of use, assesses aspects of performance (including information retrieval), and evaluates the success in accomplishing the user/organizational goals. Methods include observation, survey, interviews, performance analysis, evaluation in the design/iteration cycle, usability tests, and assessment of systems in use. View syllabus",4,,
University of Michigan School of Information,SI539,Design of Complex Websites,"This course is aimed at students with no technical background.  The purpose of this course is to provide students with all necessary skills for building and deploying web sites, as well as utilizing existing software tools.  In the first half of this course we will look deeply into the ideas and concepts behind web design; particularly recent changes to HTML and CSS standards, as well as the importance of responsive web design.  In the second half we will look at how we can use PHP programming to move to a MVC approach to web design.. View syllabus",3,,
University of Michigan School of Information,SI538,Citizen Interaction Design,"This is an experiential learning, project based course working with partners in Jackson, MI to deliver mature systems and services that help foster interaction between local government and citizens of the city.  Students will be working in teams, and have support of administrative staff to manage projects.",4,,
University of Michigan School of Information,SI320,Graphic Design,"The conceptual part of the course covers the graphic design theory discourse.  Students will reinforce the practical application of critical thinking; will learn how to apply it to a broader cultural, technological, and social context.  Students will develop their aesthetic sensibilities and design skills through mastering visual language vocabulary, understanding principles of effective visual communication, solving creative problems, and developing analytical thinking, promoting thus their ability to respond professionally to rapidly changing needs of the modern world.  While studying the elements of color, layout and grids, typography, illustrations, and web/digital design, students will build their own portfolio, in the hands-on part of the course, students will explore issues at the intersection of visual information and technology.  They will work on versatile tasks related to digital graphic productions for web:  file formats and images, background textures, collages, UI elements, grid-based website mockups for CSS frameworks.  The tools and features of Adobe Creative Suite will allow students to get the necessary skills, providing them with hands-on experience, and familiarizing them with the standard professional tasks of the always-changing world of digital environment. View syllabus",3,SI 206 or concurrent or SI 339 or EECS 182 or EECS 183,
University of Michigan School of Information,SI529,Online Communities,"This course is intended to give students a background in theory and practice surrounding online interaction environments.  For the purpose of the course, a community is defined as a group of people who sustain interaction over time.  The group may be held together by a common identity, a collective purpose, or merely by the individual utility gained from the interactions.  An online interaction environment is an electronic forum, accessed through computers or other electronic devices, in which community members can conduct some or all of their interactions.  We will use the term eCommunity as shorthand, both for communities that conduct all of their interactions online and for communities that use online interaction to supplement face-to-face interactions.

There will be two main treads that weave through the course, based on the two main texts.  One tread will be concerned with the practical issues of design and use of online tools to support communities, and how choices that must be made in design can impact the function and style of the resulting community.  The second thread will focus on the sociological theory that provides a frame to better understand communities in general.  These theoretical pieces will provide a lens for better understanding the implications of choices made on the more practical level. View syllabus",3,,
University of Michigan School of Information,SI400,Fundamentals of Survey Methodology,"Surveys are used extensively in user experience design both to collect design requirements and to evaluate systems. Yet, creating and deploying good surveys in this context is difficult due to factors such as small sample size, incomplete data, and poor question construction. This course will make students aware of the principles of survey design, standard practices for survey research, and highlight major issues in survey creation, sampling, implementation that affect the quality of survey data.",3,,STATS 250
University of Michigan School of Information,SI405,Information Analysis Final Project Preparation Course,"This preparation course lays the groundwork for the information Analytics final project course, and must be taken the semester immediately prior to that course.  Students will learn about the engage in important preparation activities such as team formation, professional interaction with clients, assessing project needs, development of initial project ideas, and surveying related technology.  On completion of the course, student teams will have created a coherent high-level project plan identified in collaboration with a client.  This plan will serve as the basis for the actual final project development in the following semester. View syllabus",1,,Sr
University of Michigan School of Information,SI487,User Experience Final Project,"Advanced project course for the User Experience Path. Students will apply skills learned in the Path to create a project that includes aspects of requirements analysis, design, and evaluation needs of a client. Example project settings might include: constructing a website for an academic unit or organization, building a mobile health application, constructing a commercially viable product, or designing a patient-facing or clinical support system. View syllabus",4,,SI 364 & 388 & 422 & 482
University of Michigan School of Information,SI520,Graphic Design and Visual Communications,"The conceptual part of the course covers the graphic design theory discourse. Students will reinforce the practical application of critical thinking, analyze and process of making and conceptualizing, learn how to ""read"" designs and how to apply them into a broader cultural, technological, and social context. In the hands-on part of the course, students will gain necessary software skills, learn how to follow or establish brand/identity guidelines, prepare work for print or web production, and select the right tools, media, and budget for their projects.  Students will improve their aesthetic sensibilities and design skills through mastering visual language vocabularies, understanding principles of effective visual communications, solving creative problems, and developing analytical thinking, promoting thus their ability to respond professionally to rapidly changing needs of the modern world.  Students should have familiarity with MS Office or iWork, Adobe Acrobat or Preview. View syllabus",1,,
University of Michigan School of Information,SI521,Advanced Psychoacoustics,"This course will focus on psychoacoustics, the study of how we perceive sounds.  Topics covered will include the anatomy and physiology of the ear, the perception of simple and complex sounds, ecological acoustics and auditory scene analysis.",3,PAT 102 or permission of instructor,
University of Michigan School of Information,SI489,Designing Engagement Through Social Media,"In this course, students will work on service-learning projects to research, design, and implement social media strategies for local organizations. Student teams will apply principles of user-centered design combined with expertise in social media communication and social group theory to accomplish social media projects.",4,,SI 315 & 335 & 422 & 429
University of Michigan School of Information,SI523,Information and Control,"There are two purposes for this course: to give participants some background on information and control and the relationship between the two: and to be of practical use to people who work as professionals. Participants in this class will be able to examine situations involving social control issues and provide a quick and accurate, analytic assessments of the informational issues that are likely to factor in those situations. View syllabus",3,,
University of Michigan School of Information,SI525,Evaluation Methods in Health Informatics,"This course examines health informatics as an empirical science, which is one of the many faces of this complex field.  As such, the course will focus on formal studies of applications of information technology applied to health care, population health, and personal health.  These studies can be conducted while an information resouce is under development as well as after a resource is in routine service.  Questions addressed by these studies often include: Is the resource functioning as anticipated?  How can it be improved?  Does it make a difference? Are the differences it makes beneficial? View syllabus",3,,
University of Michigan School of Information,SI528,Managing Organizational Information Assets,"This course provides an intensive overview for managing information as a critical organizational asset. Special emphasis is placed on understanding the range of organizational contexts within which records and recordkeeping systems are created and utilized. It is especially mindful of the considerable risks organization?s subject themselves to through poor information management. This course will enable students to understand and deploy key program functions and processes, apply insights from organizational theory and culture, and develop skills in researching and implementing: recordkeeping requirements, software tools, thesauri and taxonomies, retention and scheduling, risk management, and preservation. Students will also understand how to overcome the challenges of building and sustaining successful records management programs. View syllabus",3,,
University of Michigan School of Information,SI631,Agile Software Development for Content Management Systems,"This course provides an opportunity for students to apply skills in user experience analysis and software requirements gathering, drawing on Agile project management methodologies. These methods introduce students to tools for describing and tracking the work of a project in ways that support team collaboration, client relationship management, and the efficiency and quality of the finished project. Students will work in cross-functional teams to engage with a real-world client, combining their skills in analysis, design, and web development to deliver a completed website by the end out the course. View syllabus",1.5,,
University of Michigan School of Information,SI632,Appraisal of Archives,"This course examines the archivist's ""first responsibility,"" the appraisal of records in all media for long-term preservation.  The responsibility is ""first"" because appraisal comes first in the sequence of archival functions and thus influences all subsequent archival activities, and its ""first"" in importance because appraisal determines what tiny silver of the total human documentary production will actually become ""archives"" and thus part of society's collective memory.  The archivist is thereby actively shaping the future's history of our own times. 

This course begins with the theoretical foundations of appraisal and the controversial responsibility of assigning cultural value to some documentary artifacts and not others, within a broader context of history and memory.  Sessions on the evolution of appraisal thinking, and different appraisal experiences, in Europe, the United States, Canada, and Australia, follow.  With this background, the course will focus on examples from the real world of appraisal strategy and methodology, including electronic records.  Attention will be paid to personal and private records as well as government and institutional ones.  The class will end by trying to apply the theories and methodologies through group projects to various recording media and functional areas of records creation, these reflecting student interests.

The goal of the course is to provide students through readings and discussion with a thorough knowledge of the basic theories, strategies, and professional practices concerning appraisal and an orientation to doing this job well as working archivists.",3,SI 580 or Permission of Instructor,
University of Michigan School of Information,SI634,Content Management Systems Configuration and Site Building,"This course introduces students to the concepts behind content management systems (CMS). By the end of the course, students will be able to install and configure multiple content management platforms. They will also know where and how to seek help online. Finally, they will know how to extend these platforms by incorporating freely accessed code that others have written. View syllabus",1.5,SI 502,
University of Michigan School of Information,SI635,Content Management Systems and Web Frameworks,"This course introduces students to the concepts behind customizing Content Management Systems (CMS) and web frameworks. This course is designed to allow a student with some programming knowledge to extend the functionality of a content management system. By the end of the course, students will know how to approach the task of customization in other content management platforms and web frameworks. View syllabus",1.5,"SI 502 and SI 634 or concurrent, or permission of instructor",
University of Michigan School of Information,SI636,"Makerspaces, Maker Culture, Maker Tools","Do you wish you could create solutions that are custom-fit to your needs instead of buying other people's products? The maker movement makes that possible. Makerspaces represent a convergence of rejuvenated interest in do-it-yourself (DIY) practice with technological advances that have democratized access to low-cost, open-source resources. 
 
Makerspaces (also known as hackerspaces) have their roots in centuries-old practices such as guilds or county fairs. Today's makerspaces are communal or community spaces in which creators of all kinds - known as makers - come together with shared resources to tinker, prototype, swap ideas and expertise, experiment playfully, create, and iterate. Some see the maker movement as a novel approach to manufacturing: lean and nimble, with a rapid, technology-infused pathway from prototyping to manufacture. Others see making as an extension of the human experience, wrapping crafters, coders, artisans, hobbyists, and entrepreneurs under its umbrella, across the novice to expert continuum. Still others see making as a means to survival. Regardless, maker culture is collegial, built on open-source hardware and software and a free and generous sharing of ideas. 
 
This course explores makerspaces, maker culture, and the open-source, low-cost microcontroller tools (such as Arduino, Lilypad, and Grove) that accelerate maker tinkering. In this course, you are a maker. Through readings, discussion, design charrettes, and hands-on building, you'll construct insights, strategies, and skills to bring your ideas and inventions to life. Note: given the availability of existing open-source code available online for these platforms, this course focuses less on programming code than on deploying existing code.",3,,SI 501 & 502
University of Michigan School of Information,SI637,Research Seminar on Archives and Institutions of Social Memory,"This course is a research seminar. Readings, discussions, and assignments focus on the central
themes of the seminar: how collective memory is constructed and transferred over time and what roles documents, artifacts, and archival institutions play in capturing, conveying, and distorting collective memory. To accomplish this we explore a range of theories of collective memory, the historical relationships between orality and literacy, and postmodern perspectives on archives and why ""the archive"" has become a problematic concept. We examine the shifting connections between history, archives, and memory, as well as explore the relationships between memory and heritage, identity, and trauma. Different methodological approaches are reviewed to uncover how collective memory is mediated through phases of creation, dissemination, and reception. View syllabus",3,SI 580/HISTORY 600 or permission of instructor,
